name	latitude	longitude	visit_cnt
TA8	54.75	13.41667	11
TEILI1	59.43333	21.49683	148
TPDEEP1	59.37833	21.44117	102
US1	62.8835	18.7795	12
US1B	62.73333	18.5295	19
US2	62.84533	18.88867	92
US2B	62.71683	18.86283	45
US3	62.75883	19.19567	74
US3B	62.70017	19.163	39
US4A	62.65	19.49017	119
US5	62.60017	20.013	82
US5B	62.58617	19.96883	192
US5C	62.6335	19.763	51
US6	62.60033	20.56283	103
US6B	62.60017	20.263	125
US7	62.60017	20.82967	86
UTO	59.85	21.43	2443
U_CO2	57.423	18.995	28
VALASSAARET	63.393333	21.113333	16
VALLGRUND	63.158333	21.093333	189
VII3	62.55017	20.69633	12
VII4	62.50017	20.99633	11
VIII3	61.95017	21.0465	31
VITHARU	59.899283	21.50145	28
VM2	61.15017	20.8465	11
W19A	55.0	14.0	18
WAVE1	57.41667	19.05	30
X1	60.35017	21.59667	14
X2	60.1	20.93	12
X3	60.31683	22.04667	11
XI1	59.51683	22.9635	14
XI3	59.7335	22.99683	24
XII3	59.86683	23.98017	46
XIII3	60.01683	24.9635	24
XIV3	60.20317	26.19283	59
XV1	60.25	27.247	126
XV3	60.384	27.29633	25
XX	60.15	19.1465	17
_H40	57.088333	19.212	129
